kd,p_AS_rank,p_EU_rank,p_NA_rank,p_currentmmr,p_currentrank,p_headshotacc,p_id,p_level,p_name,p_platform,p_skillrating,p_user,position,verified
99,0,20,0,6093,20,39930000,28c264c1-e58b-4483-88ce-0dee39aba47c,222,Xada.GS,uplay,9399,28c264c1-e58b-4483-88ce-0dee39aba47c,14,0
190,0,20,17,6086,20,53640000,e6894415-2432-4444-8b62-a208d1f4961e,345,Witheball,uplay,10070,e6894415-2432-4444-8b62-a208d1f4961e,15,0
149,0,20,16,6010,20,43370000,ce517313-65bc-445d-9f62-08175c3f3808,263,VlKlNG.,uplay,9817,ce517313-65bc-445d-9f62-08175c3f3808,16,0
232,0,20,19,6002,20,45510000,22d42321-1bfc-4b46-b465-44beadc62750,121,PengufromApex,uplay,10119,22d42321-1bfc-4b46-b465-44beadc62750,17,0
145,9,20,19,5961,20,35020000,81a08e7c-3a7e-4731-8124-bd1501a0365f,132,Ap3x.Pr3d4t0r,uplay,9743,81a08e7c-3a7e-4731-8124-bd1501a0365f,18,0
125,0,20,0,5937,20,41890000,6fa0615e-a8a3-4857-825a-334020080c5f,236,I.M_UR_REAL_DAD,uplay,10324,6fa0615e-a8a3-4857-825a-334020080c5f,19,0
155,0,20,0,5936,20,43620000,0b754b6d-fca3-4dc1-9001-12d18bf74531,164,Nathan.WK,uplay,9814,0b754b6d-fca3-4dc1-9001-12d18bf74531,20,0
190,0,20,6,5924,20,53110000,6a0f955d-35e4-4a8d-a66c-199384533926,137,Envvyy.,uplay,9882,6a0f955d-35e4-4a8d-a66c-199384533926,21,0
135,0,20,0,5919,20,49370000,f3a917ca-345a-4417-8346-b8c5bb071cdd,235,JUUUUUUUUUUUUUK,uplay,9712,f3a917ca-345a-4417-8346-b8c5bb071cdd,22,0
208,0,20,0,5913,20,46770000,d6fad02d-d6bb-44f8-8a4a-1036c4ecf43b,146,ZER0TW0..,uplay,10260,d6fad02d-d6bb-44f8-8a4a-1036c4ecf43b,23,0
128,0,20,17,5878,20,42010000,c4035456-6644-4ca4-b26a-6fdd2f5ec121,231,C6-,uplay,10449,c4035456-6644-4ca4-b26a-6fdd2f5ec121,24,0
165,0,20,0,5864,20,44360000,6ac2a9cf-88ad-43d1-89f4-aa99fe9f15a4,332,Benjamaster2k,uplay,9768,6ac2a9cf-88ad-43d1-89f4-aa99fe9f15a4,25,0
154,0,20,0,5782,20,55310000,fbfb8bc2-ad84-4638-ba54-b66fe2751a53,193,w.Bullet,uplay,10366,fbfb8bc2-ad84-4638-ba54-b66fe2751a53,26,0
154,0,20,0,5766,20,45660000,65c9724e-fc66-4b33-969f-7b8495c4e4dc,203,Slypher.BUTEO,uplay,9893,65c9724e-fc66-4b33-969f-7b8495c4e4dc,27,0
155,0,20,0,5753,20,42650000,ccb864fb-c96e-4e35-99b8-1d40f753fc44,131,FirstTimeR6S,uplay,9594,ccb864fb-c96e-4e35-99b8-1d40f753fc44,28,0
138,0,20,0,5744,20,47320000,278d68b4-a9e6-4ab4-b3da-bb0545f4dbbc,360,dan-_-.Empire,uplay,9605,278d68b4-a9e6-4ab4-b3da-bb0545f4dbbc,29,0
164,0,20,0,5732,20,46150000,e99d27b9-3f40-412a-86e4-202f5d484099,255,CutyBlaZ..,uplay,9817,e99d27b9-3f40-412a-86e4-202f5d484099,30,0
175,0,20,0,5720,20,50900000,d6fb9fc8-aa44-4a68-b5fb-18a33577fb79,288,AceeZ.LSE,uplay,9929,d6fb9fc8-aa44-4a68-b5fb-18a33577fb79,31,1
